LGEA,NAME OF SCHOOL,ENROLMENT,,,NUMBER OF TEACHING STAFF,,
ADO,"UBE JSS RIJO, CENTRE, UTONKON",72,45,117,3,1,4
ADO,"UBE JSS APAI, APA-AGILA",115,62,177,7,0,7
ADO,"UBE JSS SAINT PAUL, UTONKON",0,0,0,0,0,0
ADO,"UBE JSS UDEBOR, IGBA, UTONKON",89,122,211,2,2,4
ADO,UBE JSS IJIGBAN I,34,56,90,2,0,2
ADO,"UBE JSS IGUMALE II, IGUMALE TOWN, ",110,57,167,7,3,10
ADO,UBE JSS ONYENE-EKILE,91,87,178,4,2,6
ADO,UBE JSS ODOKEM-EKILE,50,35,85,2,3,5
ADO,"UBE JSS AGILA, AKPOGO",56,105,161,7,0,7
ADO,"UBE JSS EKPUFU, EKILE",65,90,155,1,2,3
ADO,"UBE JSS NDUOBASHI, EKILE, ISHIEKE",131,80,211,4,2,6
ADO,"UBE JSS ONOGWU, IJIGBAN",0,0,0,0,0,0
AGATU,UBE JSS ADANA,33,24,57,2,0,2
AGATU,UBE JSS EGBA,6,6,12,3,0,3
AGATU,UBE JSS ODUGBEHO,124,51,175,6,0,6
AGATU,UBE JSS ODEJO,30,9,39,2,0,2
AGATU,UBE JSS EGWUMA,42,28,70,4,0,4
AGATU,UBE JSS IKPELE,32,19,51,0,1,1
AGATU,UBE JSS OGBAULU,102,60,162,6,1,7
AGATU,UBE JSS AILA,49,29,78,1,0,1
AGATU,UBE JSS OBAGAJI,171,139,310,26,4,30
AGATU,UBE JSS OGBAULU AGATU,61,60,121,7,2,9
AGATU,UBE JSS OGWULE KADUNA,18,12,30,3,0,3
AGATU,UBE JSS OKOKOLO,43,38,81,5,0,5
AGATU,UBE JSS ENUNGBA AGATU,58,25,83,12,3,15
AGATU,UBE JSS OLEGODEGE,27,31,58,6,0,6
AGATU,UBE JSS EKWO-OKPANCHENYI,30,34,64,4,0,4
AGATU,UBE JSS OSHIGBUDU,164,141,305,8,4,12
AGATU,UBE JSS OGBANGEDE,102,261,363,6,1,7
AGATU,UBE JSS USHA,113,82,195,6,2,8
AGATU,UBE JSS ATAKPA,20,39,59,6,0,6
AGATU,UBE JSS OWETO,121,52,173,5,0,5
AGATU,UBE JSS OGWULE OGBAULU,102,60,162,6,1,7
AGATU,UBE JSS OKPAGABI,60,42,102,5,2,7
AGATU,UBE JSS ABUGBE,24,25,49,3,0,3
AGATU,UBE JSS WARRI,15,13,28,1,0,1
APA,"UBE JUNIOR SECONDARY SCHOOL, UGBOKPO",74,76,150,12,9,21
APA,"UBE JUNIOR SECONDARY SCHOOL, AUKE IGERI",25,21,46,5,0,5
APA,"UBE JUNIOR SECONDARY SCHOOL, IGA OKPAYA",110,70,180,9,2,11
APA,"UBE JUNIOR SECONDARY SCHOOL, IJAHA IBELE",35,26,61,9,0,9
APA,"UBE JUNIOR SECONDARY SCHOOL, IKOBI",18,17,35,5,0,5
APA,"UBE JUNIOR SECONDARY SCHOOL, OBA",39,33,72,3,2,5
APA,"UBE JUNIOR SECONDARY SCHOOL, OCHUMEKWU",26,23,49,5,4,9
APA,"UBE JUNIOR SECONDARY SCHOOL, OIJI",45,30,75,5,0,5
APA,"UBE JUNIOR SECONDARY SCHOOL, OJANTELLE",115,115,230,6,4,10
APA,"UBE JUNIOR SECONDARY SCHOOL, OPAHA",45,45,90,3,0,3
APA,"UBE JUNIOR SECONDARY SCHOOL, OTAKPA",23,11,34,3,1,4
APA,"UBE JUNIOR SECONDARY SCHOOL, UGBOBI OCHEKWU",7,9,16,2,1,3
APA,"UBE JUNIOR SECONDARY SCHOOL, OKPENE",14,19,33,5,0,5
APA,"UBE JUNIOR SECONDARY SCHOOL, AKPETE",39,32,71,6,1,7
APA,"UBE JUNIOR SECONDARY SCHOOL, OLADU",24,20,44,3,1,4
APA,"UBE JUNIOR SECONDARY SCHOOL, EDIKWU ICHO",9,9,18,3,0,3
APA,"UBE JUNIOR SECONDARY SCHOOL, AMOKE",24,17,41,1,2,3
APA,"UBE JUNIOR SECONDARY SCHOOL, IGORO",23,29,52,1,0,1
APA,"UBE JUNIOR SECONDARY SCHOOL, OCHICHI, OGILI",0,0,0,0,0,0
APA,"UBE JUNIOR SECONDARY SCHOOL, ODUGBO",0,0,0,0,0,0
BURUKU,"UBE  JUNIOR SECONDARY SCHOOL, ST.PETER'S BURUKU",239,197,436,7,3,10
BURUKU,"UBE  JUNIOR SECONDARY SCHOOL, SUE MBALAGH",50,28,78,2,0,2
BURUKU,"UBE  JUNIOR SECONDARY SCHOOL, TAHAV",53,44,97,5,0,5
BURUKU,UBE JUNIOR SEC. SCH. TOM-AHAR,60,36,96,1,0,1
BURUKU,UBE JUNIOR SEC. SCH. AGBONOR,62,74,136,2,0,2
BURUKU,UBE JUNIOR SECONDARY SCHOOL GARAGBOGHOL SHOROV,39,38,77,2,2,4
BURUKU,UBE JSS ORAHII,0,0,0,0,0,0
BURUKU,"UBE  JUNIOR SECONDARY SCHOOL, ABWA",57,64,121,2,0,2
